Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Продолжительность,Рейтинг,Количество Оценок,Актер 1,Актер 2,Оскар у режиссера,Оскар у актеров
Загадочная история Бенджамина Баттона,The Curious Case of Benjamin Button,https://www.kinopoisk.ru/film/81555/,Дэвид Финчер,США,2008,драма,166.0,8.1,509328,Брэд Питт,Кейт Бланшетт,3,7
Джон Уик,John Wick,https://www.kinopoisk.ru/film/762738/,Чад Стахелски,США,2014,боевик,101.0,7.0,509076,Киану Ривз,Микаэл Нюквист,0,0
Эффект бабочки,The Butterfly Effect,https://www.kinopoisk.ru/film/5167/,Эрик Бресс,США,2003,фантастика,113.0,8.2,508926,Эштон Кутчер,Эми Смарт,0,0
Дэдпул 2,Deadpool 2,https://www.kinopoisk.ru/film/961715/,Дэвид Литч,США,2018,фантастика,119.0,7.4,508759,Райан Рейнольдс,Джош Бролин,0,0
Темный рыцарь: Возрождение легенды,The Dark Knight Rises,https://www.kinopoisk.ru/film/437410/,Кристофер Нолан,США,2012,фантастика,165.0,8.2,507686,Кристиан Бэйл,Том Харди,2,0
Игры разума,A Beautiful Mind,https://www.kinopoisk.ru/film/530/,Рон Ховард,США,2001,биография,135.0,8.5,504138,Рассел Кроу,Эд Харрис,2,4
Шрэк 2,Shrek 2,https://www.kinopoisk.ru/film/5273/,Эндрю Адамсон,США,2004,мультфильм,93.0,7.9,503696,Майк Майерс,Эдди Мерфи,0,0
Предложение,The Proposal,https://www.kinopoisk.ru/film/321842/,Энн Флетчер,США,2009,мелодрама,108.0,7.7,503365,Сандра Буллок,Райан Рейнольдс,0,2
Валериан и город тысячи планет,Valerian and the City of a Thousand Planets,https://www.kinopoisk.ru/film/689960/,Люк Бессон,Франция,2017,фантастика,136.0,6.9,503098,Дэйн ДеХаан,Кара Делевинь,0,0
Гарри Поттер и Дары Смерти: Часть I,Harry Potter and the Deathly Hallows - Part 1,https://www.kinopoisk.ru/film/276762/,Дэвид Йейтс,Великобритания,2010,фэнтези,146.0,7.9,503058,Дэниэл Рэдклифф,Руперт Гринт,0,0
Далласский клуб покупателей,Dallas Buyers Club,https://www.kinopoisk.ru/film/260162/,Жан-Марк Валле,США,2013,драма,118.0,7.9,499391,Мэттью Макконахи,Дженнифер Гарнер,0,1
В бой идут одни «старики»,,https://www.kinopoisk.ru/film/25108/,Леонид Быков,СССР,1973,военный,87.0,8.7,498128,Леонид Быков,Сергей Подгорный,0,0
Богемская рапсодия,Bohemian Rhapsody,https://www.kinopoisk.ru/film/568289/,Брайан Сингер,Великобритания,2018,биография,134.0,8.0,495944,Рами Малек,Люси Бойнтон,0,1
Фантастические твари и где они обитают,Fantastic Beasts and Where to Find Them,https://www.kinopoisk.ru/film/797840/,Дэвид Йейтс,Великобритания,2016,фэнтези,132.0,7.6,494312,Эдди Редмэйн,Кэтрин Уотерстон,0,2
Послезавтра,The Day After Tomorrow,https://www.kinopoisk.ru/film/2053/,Роланд Эммерих,США,2004,фантастика,124.0,7.7,489380,Деннис Куэйд,Джейк Джилленхол,0,0
Одержимость,Whiplash,https://www.kinopoisk.ru/film/725190/,Дэмьен Шазелл,США,2013,драма,106.0,8.4,488552,Майлз Теллер,Дж.К. Симмонс,1,0
Оно,It,https://www.kinopoisk.ru/film/453397/,Андрес Мускетти,США,2017,ужасы,135.0,7.3,486593,Джейден Мартелл,Джереми Рэй Тейлор,0,0
Голодные игры,The Hunger Games,https://www.kinopoisk.ru/film/468581/,Гэри Росс,США,2012,фантастика,142.0,7.3,486496,Дженнифер Лоуренс,Джош Хатчерсон,0,3
Трое из Простоквашино,,https://www.kinopoisk.ru/film/42326/,Владимир Попов,СССР,1978,мультфильм,19.0,8.8,486462,Мария Виноградова,Олег Табаков,0,0
Исходный код,Source Code,https://www.kinopoisk.ru/film/409295/,Дункан Джонс,США,2011,фантастика,93.0,7.8,486308,Джейк Джилленхол,Мишель Монахэн,0,0
Железный человек 2,Iron Man 2,https://www.kinopoisk.ru/film/411924/,Джон Фавро,США,2010,фантастика,124.0,7.5,478227,Роберт Дауни мл.,Микки Рурк,0,1
По соображениям совести,Hacksaw Ridge,https://www.kinopoisk.ru/film/649917/,Мэл Гибсон,США,2016,биография,139.0,8.2,475983,Эндрю Гарфилд,Сэм Уортингтон,0,2
Шан-Чи и легенда десяти колец,Shang-Chi and the Legend of the Ten Rings,https://www.kinopoisk.ru/film/1219149/,Дестин Дэниел Креттон,США,2021,фэнтези,132.0,7.3,475360,Симу Лю,Тони Люн Чу-Вай,0,0
Отступники,The Departed,https://www.kinopoisk.ru/film/81314/,Мартин Скорсезе,США,2006,криминал,151.0,8.5,473817,Леонардо ДиКаприо,Мэтт Дэймон,10,5
Черный ящик,Boîte noire,https://www.kinopoisk.ru/film/1368311/,Ян Гозлан,Франция,2020,детектив,129.0,7.6,473571,Пьер Нинэ,Лу де Лааж,0,0
Терминал,The Terminal,https://www.kinopoisk.ru/film/6877/,Стивен Спилберг,США,2004,драма,124.0,8.1,471027,Том Хэнкс,Кэтрин Зета-Джонс,9,5
"Ирония судьбы, или С легким паром!",,https://www.kinopoisk.ru/film/77331/,Эльдар Рязанов,СССР,1975,мелодрама,184.0,8.2,470860,Андрей Мягков,Барбара Брыльска,0,0
Дурак,,https://www.kinopoisk.ru/film/808639/,Юрий Быков,Россия,2014,драма,116.0,8.1,470325,Артём Быстров,Наталья Суркова,0,0
Такси,Taxi,https://www.kinopoisk.ru/film/14349/,Жерар Пирес,Франция,1998,боевик,89.0,8.0,469771,Сами Насери,Фредерик Дифенталь,0,0
Адвокат дьявола,The Devil's Advocate,https://www.kinopoisk.ru/film/3797/,Тейлор Хэкфорд,США,1997,триллер,144.0,8.2,469558,Киану Ривз,Аль Пачино,0,5
Железный человек 3,Iron Man Three,https://www.kinopoisk.ru/film/462762/,Шейн Блэк,США,2013,фантастика,130.0,7.5,469403,Роберт Дауни мл.,Гвинет Пэлтроу,0,1
Рапунцель: Запутанная история,Tangled,https://www.kinopoisk.ru/film/84049/,Нэйтан Грено,США,2010,мультфильм,100.0,8.0,469137,Мэнди Мур,Закари Ливай,0,0
Красотка,Pretty Woman,https://www.kinopoisk.ru/film/8125/,Гэрри Маршалл,США,1990,мелодрама,115.0,8.0,468893,Ричард Гир,Джулия Робертс,0,2
Вечное сияние чистого разума,Eternal Sunshine of the Spotless Mind,https://www.kinopoisk.ru/film/5492/,Мишель Гондри,США,2004,мелодрама,108.0,8.0,466449,Джим Керри,Кейт Уинслет,0,4
Моана,Moana,https://www.kinopoisk.ru/film/837530/,Рон Клементс,США,2016,мультфильм,107.0,7.8,466112,Аулии Кравальо,Дуэйн Джонсон,0,0
Ходячий замок,Howl no Ugoku Shiro,https://www.kinopoisk.ru/film/49684/,Хаяо Миядзаки,Япония,2004,аниме,119.0,8.3,465793,Тиэко Байсё,Такуя Кимура,0,0
Хоббит: Пустошь Смауга,The Hobbit: The Desolation of Smaug,https://www.kinopoisk.ru/film/408876/,Питер Джексон,Новая Зеландия,2013,фэнтези,161.0,8.0,465767,Мартин Фриман,Ричард Армитедж,2,0
Дивергент,Divergent,https://www.kinopoisk.ru/film/582101/,Нил Бёргер,США,2014,фантастика,134.0,6.7,462766,Шейлин Вудли,Тео Джеймс,0,0
Три богатыря и Пуп Земли,,https://www.kinopoisk.ru/film/4489198/,Константин Феоктистов,Россия,2023,мультфильм,85.0,6.9,461158,Олег Куликович,Валерий Соловьев,0,0
Укрощение строптивого,Il bisbetico domato,https://www.kinopoisk.ru/film/63912/,Франко Кастеллано,Италия,1980,мелодрама,107.0,8.4,460435,Адриано Челентано,Орнелла Мути,0,0
Великий Гэтсби,The Great Gatsby,https://www.kinopoisk.ru/film/463724/,Баз Лурман,Австралия,2013,драма,143.0,7.9,456721,Леонардо ДиКаприо,Тоби Магуайр,0,5
Еще по одной,Druk,https://www.kinopoisk.ru/film/1263705/,Томас Винтерберг,Дания,2020,драма,110.0,7.6,454539,Мадс Миккельсен,Томас Бо Ларсен,1,0
Мажор. Фильм,,https://www.kinopoisk.ru/film/1445143/,Максим Полинский,Россия,2021,боевик,98.0,6.8,454175,Павел Прилучный,Евгений Стычкин,0,0
Игра,The Game,https://www.kinopoisk.ru/film/12198/,Дэвид Финчер,США,1997,триллер,129.0,8.3,452345,Майкл Дуглас,Шон Пенн,3,6
Веном 2,Venom: Let There Be Carnage,https://www.kinopoisk.ru/film/1227967/,Энди Серкис,США,2021,фантастика,96.0,6.2,452311,Том Харди,Вуди Харрельсон,0,1
Тор,Thor,https://www.kinopoisk.ru/film/258941/,Кеннет Брана,США,2011,фантастика,115.0,7.1,451956,Крис Хемсворт,Натали Портман,2,2
"Я, робот","I, Robot",https://www.kinopoisk.ru/film/4886/,Алекс Пройас,США,2004,фантастика,115.0,7.8,451294,Уилл Смит,Бриджет Мойнэхэн,0,3
Догмен,Dogman,https://www.kinopoisk.ru/film/4922959/,Люк Бессон,Франция,2023,драма,113.0,7.8,446655,Калеб Лэндри Джонс,Джоджо Т. Гиббс,0,0
Мстители: Эра Альтрона,Avengers: Age of Ultron,https://www.kinopoisk.ru/film/679830/,Джосс Уидон,США,2015,фантастика,141.0,7.3,445259,Роберт Дауни мл.,Крис Хемсворт,0,0
Семь жизней,Seven Pounds,https://www.kinopoisk.ru/film/395787/,Габриэле Муччино,США,2008,драма,118.0,8.2,444202,Уилл Смит,Розарио Доусон,0,3
Пассажиры,Passengers,https://www.kinopoisk.ru/film/470689/,Мортен Тильдум,США,2016,фантастика,116.0,7.2,443350,Крис Пратт,Дженнифер Лоуренс,1,3
Назад в будущее 2,Back to the Future Part II,https://www.kinopoisk.ru/film/5502/,Роберт Земекис,США,1989,фантастика,108.0,8.3,443289,Майкл Дж. Фокс,Кристофер Ллойд,1,0
Движение вверх,,https://www.kinopoisk.ru/film/840817/,Антон Мегердичев,Россия,2017,спорт,133.0,7.5,442890,Владимир Машков,Андрей Смоляков,0,0
Дом странных детей Мисс Перегрин,Miss Peregrine's Home for Peculiar Children,https://www.kinopoisk.ru/film/648440/,Тим Бёртон,США,2016,фэнтези,127.0,6.9,442876,Ева Грин,Эйса Баттерфилд,0,0
"Три билборда на границе Эббинга, Миссури","Three Billboards Outside Ebbing, Missouri",https://www.kinopoisk.ru/film/944098/,Мартин Макдона,Великобритания,2017,драма,115.0,8.1,441731,Фрэнсис Макдорманд,Сэм Рокуэлл,0,3
Вверх,Up,https://www.kinopoisk.ru/film/325381/,Пит Доктер,США,2009,мультфильм,96.0,8.0,441505,Эдвард Эснер,Кристофер Пламмер,0,0
Ледниковый период,Ice Age,https://www.kinopoisk.ru/film/707/,Крис Уэдж,США,2002,мультфильм,81.0,8.0,441275,Рэй Романо,Джон Легуизамо,0,0
